"acousticness","danceability","duration_ms","energy","explicit","instrumentalness","key","liveness","loudness","mode","popularity","release_date","speechiness","tempo","valence","year","season","pop_binary","pop_binom"
0.887,0.319,187.333,0.201,"0",0,"7",0.904,-17.796,"1",27,2018-05-04,0.0623,117.153,0.239,"2018","Spring",0,27
0.938,0.269,236.8,0.129,"0",4.87e-06,"7",0.683,-18.168,"0",26,2018-05-04,0.0576,82.332,0.16,"2018","Spring",0,26
0.881,0.644,313.093,0.212,"0",2.22e-05,"11",0.798,-14.118,"1",19,2020-10-30,0.0347,117.072,0.441,"2020","Fall",0,19
0.955,0.627,295.093,0.184,"0",0.000162,"1",0.0986,-15.533,"1",19,2020-10-30,0.045,115.864,0.299,"2020","Fall",0,19
0.888,0.581,183.44,0.331,"0",1.5e-05,"6",0.147,-14.087,"1",19,2020-10-30,0.243,88.303,0.642,"2020","Fall",0,19
0.93,0.442,147.907,0.399,"0",0.000499,"6",0.912,-12.661,"1",19,2020-10-30,0.078,121.662,0.554,"2020","Fall",0,19
0.949,0.57,64.173,0.176,"0",0,"6",0.147,-22.676,"0",19,2020-10-30,0.299,135.687,0.348,"2020","Fall",0,19
0.911,0.565,232.64,0.153,"0",0,"10",0.358,-21.606,"0",18,2020-10-30,0.378,103.309,0.434,"2020","Fall",0,18
0.932,0.598,233.52,0.212,"0",2.32e-05,"6",0.692,-15.078,"0",18,2020-10-30,0.0406,107.183,0.172,"2020","Fall",0,18
0.879,0.367,213.84,0.307,"0",0,"11",0.73,-12.42,"0",18,2020-10-30,0.0568,172.867,0.284,"2020","Fall",0,18
0.926,0.638,92.56,0.19,"0",0,"2",0.273,-22.268,"1",18,2020-10-30,0.485,61.212,0.417,"2020","Fall",0,18
0.914,0.7,61.4,0.164,"0",0,"10",0.237,-19.645,"0",18,2020-10-30,0.403,99.184,0.31,"2020","Fall",0,18
0.383,0.388,188.36,0.617,"0",0,"2",0.126,-4.614,"1",9,2018-12-28,0.0288,76.037,0.674,"2018","Winter",0,9
0.962,0.108,375.28,0.254,"0",0.0149,"11",0.139,-14.49,"1",9,2020-12-26,0.0407,74.514,0.0362,"2020","Winter",0,9
0.125,0.497,174.774,0.858,"0",5.65e-06,"9",0.287,-4.233,"1",12,2018-05-18,0.0614,127.104,0.564,"2018","Spring",0,12
0.00157,0.693,194.508,0.387,"0",0.588,"9",0.108,-13.82,"1",20,2019-02-22,0.052,129.968,0.282,"2019","Winter",0,20
0.00176,0.206,144.627,0.99,"0",8.07e-05,"10",0.335,-3.565,"1",36,2017-11-17,0.13,187.433,0.666,"2017","Fall",0,36
0.0143,0.495,160.336,0.907,"0",0,"6",0.159,-6.116,"1",24,2016-04-13,0.0672,89.846,0.63,"2016","Spring",0,24
0.0893,0.413,285.08,0.617,"0",0.00761,"2",0.0786,-12.259,"0",19,2019-03-12,0.037,114.97,0.242,"2019","Winter",0,19
1.04e-06,0.277,243.873,0.957,"0",0.643,"8",0.293,-5.656,"1",21,2020-10-05,0.107,94.96,0.109,"2020","Fall",0,21
0.0303,0.158,444.16,0.855,"0",0.0219,"2",0.708,-7.001,"1",28,2020-09-25,0.078,99.535,0.0612,"2020","Fall",0,28
0.0248,0.57,247.28,0.907,"0",0.00771,"6",0.92,-8.382,"0",29,2018-11-30,0.0602,108.012,0.697,"2018","Fall",0,29
0.0225,0.547,254.28,0.552,"0",2.09e-06,"7",0.653,-8.325,"1",23,2019-07-05,0.0264,83.62,0.468,"2019","Summer",0,23
0.0125,0.627,234.347,0.81,"0",3.09e-05,"2",0.111,-5.296,"0",34,2019-07-12,0.0431,119.98,0.409,"2019","Summer",0,34
6e-04,0.57,196.387,0.77,"0",0,"11",0.0831,-8.431,"1",19,2020-07-03,0.0471,107.013,0.832,"2020","Summer",0,19
0.424,0.633,170.305,0.694,"0",0,"8",0.177,-9.187,"0",8,2020-11-12,0.497,86.101,0.76,"2020","Fall",0,8
0.943,0.112,108.333,0.138,"0",0.914,"2",0.103,-23.046,"0",15,2018-11-09,0.0476,80.887,0.105,"2018","Fall",0,15
0.0114,0.617,304.16,0.926,"0",0.808,"9",0.157,-5.241,"0",15,2019-08-16,0.0433,133.994,0.306,"2019","Summer",0,15
0.165,0.699,83.853,0.558,"0",0.883,"9",0.0932,-14.713,"1",30,2020-04-08,0.0541,99.996,0.398,"2020","Spring",0,30
0.778,0.711,217.36,0.0983,"0",0,"1",0.62,-28.235,"1",29,2021-01-08,0.899,111.518,0.359,"2021","Winter",0,29
0.7,0.0692,533.707,0.285,"0",0.673,"2",0.199,-14.854,"1",36,2020-12-04,0.0482,78.572,0.0312,"2020","Fall",0,36
0.973,0.269,654.107,0.0833,"0",0.908,"2",0.0673,-18.492,"1",37,2021-01-08,0.0347,94.013,0.106,"2021","Winter",0,37
0.969,0.314,74.302,0.0855,"0",0.795,"9",0.16,-15.775,"1",18,2020-09-16,0.0342,69.893,0.161,"2020","Fall",0,18
0.957,0.345,496.307,0.135,"0",0.878,"2",0.0927,-16.442,"1",34,2021-01-08,0.0313,97.238,0.249,"2021","Winter",0,34
0.938,0.634,121,0.402,"0",0.66,"5",0.21,-12.934,"1",34,2021-01-08,0.0347,84.487,0.949,"2021","Winter",0,34
0.0026,0.556,199.856,0.631,"0",0,"7",0.38,-6.679,"0",0,2021-01-17,0.0306,134.024,0.365,"2021","Winter",0,0
0.915,0.49,254.36,0.311,"0",0.835,"10",0.171,-16.749,"1",35,2021-01-08,0.0453,123.434,0.421,"2021","Winter",0,35
0.187,0.791,113.684,0.476,"0",0.416,"11",0.218,-10.55,"0",1,2021-01-12,0.0718,95.07,0.885,"2021","Winter",0,1
0.941,0.662,184.987,0.401,"0",0.905,"7",0.288,-13.296,"1",35,2021-01-08,0.0388,117.287,0.669,"2021","Winter",0,35
0.0557,0.806,320.016,0.674,"0",0.791,"3",0.706,-7.547,"0",0,2021-01-15,0.0499,122.996,0.316,"2021","Winter",0,0
0.891,0.4,113.933,0.547,"0",0.63,"0",0.0663,-12.044,"1",33,2021-01-08,0.0467,166.178,0.857,"2021","Winter",0,33
0.0279,0.442,174.733,0.604,"0",0,"2",0.16,-11.696,"1",0,2021-01-21,0.449,187.877,0.403,"2021","Winter",0,0
0.936,0.316,670.947,0.108,"0",0.859,"0",0.0785,-18.232,"1",33,2021-01-08,0.0375,101.673,0.188,"2021","Winter",0,33
0.812,0.623,142.519,0.384,"0",0.898,"0",0.107,-21.408,"1",0,2021-01-16,0.0369,129.968,0.272,"2021","Winter",0,0
0.947,0.233,641.453,0.131,"0",0.928,"2",0.0903,-15.626,"1",32,2021-01-08,0.0411,149.727,0.1,"2021","Winter",0,32
0.125,0.832,115.204,0.687,"0",0.000238,"1",0.0781,-6.775,"1",0,2021-01-22,0.0779,175.082,0.322,"2021","Winter",0,0
0.942,0.5,184.413,0.339,"0",0.914,"7",0.111,-16.881,"0",32,2021-01-08,0.0497,81.163,0.272,"2021","Winter",0,32
0.309,0.575,230.69,0.963,"0",0,"10",0.224,-2.216,"0",0,2021-01-18,0.0918,139.874,0.921,"2021","Winter",0,0
